,Year,Age,Female,Male,Total,X.30,X.31,X.37,X.38
1,1751,0,28595.61,28608.93,57204.54,NA,,NA,
2,1751,1,26191.55,25873.44,52064.99,NA,,NA,
3,1751,2,26508.24,26127.31,52635.55,NA,,NA,
4,1751,3,22053.87,21638.37,43692.24,NA,,NA,
5,1751,4,18244.12,17681.68,35925.8,NA,,NA,
6,1751,5,18296.82,17824.89,36121.71,NA,,NA,
7,1751,6,18094.76,17920.14,36014.9,NA,,NA,
8,1751,7,18040.69,18125.9,36166.59,NA,,NA,
9,1751,8,18324.15,18583.2,36907.35,NA,,NA,
10,1751,9,18807.98,19139.68,37947.66,NA,,NA,
11,1751,10,18296.14,18322.33,36618.47,,NA,,NA
12,1751,11,17713.5,17566.63,35280.13,,NA,,NA
13,1751,12,17039.1,16805.54,33844.64,,NA,,NA
14,1751,13,16449.55,16213.91,32663.46,,NA,,NA
15,1751,14,15939.98,15716.37,31656.35,,NA,,NA
16,1751,15,16570.65,15879.36,32450.01,,NA,,NA
17,1751,16,17010.95,16050.4,33061.35,,NA,,NA
18,1751,17,17118.63,15864.86,32983.49,,NA,,NA
19,1751,18,17282.31,15289.38,32571.69,,NA,,NA
20,1751,19,17430.77,14751.75,32182.52,,NA,,NA
21,1751,20,16901.85,14317.51,31219.36,,NA,,NA
22,1751,21,16460.07,13905.93,30366,,NA,,NA
23,1751,22,16088.59,13757.83,29846.42,,NA,,NA
24,1751,23,15822.2,13927.85,29750.05,,NA,,NA
25,1751,24,15370.35,13839.19,29209.54,,NA,,NA
26,1751,25,15391.02,13943.58,29334.6,,NA,,NA
27,1751,26,15450.72,13952.54,29403.26,,NA,,NA
28,1751,27,15468.8,13797.98,29266.78,,NA,,NA
29,1751,28,15448.83,13718.29,29167.12,,NA,,NA
30,1751,29,15287.97,13599.83,28887.8,,NA,,NA
31,1751,30,14314.7,12784.88,27099.58,,NA,,NA
32,1751,31,13352.42,11933.6,25286.02,,NA,,NA
33,1751,32,12350.63,11137.09,23487.72,,NA,,NA
34,1751,33,11436.73,10467.99,21904.72,,NA,,NA
35,1751,34,10627.16,9866.04,20493.2,,,,
36,1751,35,10810.93,10002.34,20813.27,,NA,,NA
37,1751,36,11164.94,10237.46,21402.4,,NA,,NA
38,1751,37,11538.23,10443.06,21981.29,,NA,,NA
39,1751,38,11989.25,10604.41,22593.66,,NA,,NA
40,1751,39,12265.8,10604.31,22870.11,,NA,,NA
41,1751,40,11233.71,9676.58,20910.29,NA,,NA,
42,1751,41,10322.27,8924.75,19247.02,NA,,NA,
43,1751,42,9473.27,NA,,NA,NA,NA,NA
44,1751,43,8627.03,NA,,NA,NA,NA,NA
45,1751,44,7795.34,NA,,NA,NA,NA,NA
46,1751,45,8121.22,NA,,NA,NA,NA,NA
47,1751,46,8659.56,NA,,NA,NA,NA,NA
48,1751,47,9314.69,NA,,NA,NA,NA,NA
49,1751,48,10155.2,8486.4,18641.6,NA,,NA,
50,1751,49,10956.27,8857.04,19813.31,NA,,NA,
51,1751,50,9911.9,,,NA,NA,NA,NA
52,1751,51,8861.08,,,NA,NA,NA,NA
53,1751,52,7861.81,,,NA,NA,NA,NA
54,1751,53,6968.06,,,NA,NA,NA,NA
55,1751,54,6123.67,,,NA,NA,NA,NA
56,1751,55,6343.53,,,NA,NA,NA,NA
57,1751,56,6672,,,NA,NA,NA,NA
58,1751,57,7147.67,,,NA,NA,NA,NA
59,1751,58,7876.66,,,NA,NA,NA,NA
60,1751,59,8735.82,,,NA,NA,NA,NA
61,1751,60,8544.61,,,NA,NA,NA,NA
62,1751,61,8311.95,,,NA,NA,NA,NA
63,1751,62,7760.1,,,NA,NA,NA,NA
64,1751,63,7074.47,,,NA,NA,NA,NA
65,1751,64,6286.88,,,NA,NA,NA,NA
66,1751,65,6048.71,,,NA,NA,NA,NA
67,1751,66,5876.15,,,NA,NA,NA,NA
68,1751,67,5771.78,,,NA,NA,NA,NA
69,1751,68,5664.79,,,NA,NA,NA,NA
70,1751,69,5580.32,,,NA,NA,NA,NA
71,1751,70,4895.12,,,NA,NA,NA,NA
72,1751,71,4223.91,,,NA,NA,NA,NA
73,1751,72,3564.4,,,NA,NA,NA,NA
74,1751,73,2926.81,,,NA,NA,NA,NA
75,1751,74,2339.58,,,NA,NA,NA,NA
76,1751,75,2163.34,,,NA,NA,NA,NA
77,1751,76,2026.73,,,NA,NA,NA,NA
78,1751,77,1952.99,,,NA,NA,NA,NA
79,1751,78,1927.69,,,NA,NA,NA,NA
80,1751,79,1843.71,,,NA,NA,NA,NA
81,1751,80,1638.03,,,NA,NA,NA,NA
82,1751,81,1431.32,,,NA,NA,NA,NA
83,1751,82,1227.15,,,NA,NA,NA,NA
84,1751,83,1029.21,,,NA,NA,NA,NA
85,1751,84,NA,NA,NA,NA,NA,NA,NA
86,1751,85,NA,NA,NA,NA,NA,NA,NA
87,1751,86,NA,NA,NA,NA,NA,NA,NA
88,1751,87,NA,NA,NA,NA,NA,NA,NA
89,1751,88,NA,NA,NA,NA,NA,NA,NA
90,1751,89,NA,NA,NA,NA,NA,NA,NA
91,1751,90,NA,NA,NA,NA,NA,NA,NA
92,1751,91,NA,NA,NA,NA,NA,NA,NA
93,1751,92,NA,NA,NA,NA,NA,NA,NA
94,1751,93,NA,NA,NA,NA,NA,NA,NA
95,1751,94,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1751,95,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1751,96,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,1751,97,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1751,98,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,1751,99,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1751,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1751,NA,NA,NA,NA,NA,NA,NA,NA
110,14.27,NA,NA,NA,NA,NA,NA,NA,NA
111,1751,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1751,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1751,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1751,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,1751,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1751,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1751,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,1751,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1751,NA,NA,NA,NA,NA,NA,NA,NA
128,0,NA,NA,NA,NA,NA,NA,NA,NA
129,1752,NA,0,NA,27192,NA,27939,NA,55131
130,1752,NA,1,NA,25797.3,NA,25404.87,NA,51202.17
131,1752,NA,2,NA,25250.2,NA,24877.63,NA,50127.83
132,1752,NA,3,NA,25780.64,NA,25360.1,NA,51140.74
133,1752,NA,4,NA,21507.86,NA,21062.9,NA,42570.76
134,1752,NA,5,NA,17843.34,NA,17253.27,NA,35096.61
135,1752,NA,6,NA,18009.54,NA,17512.94,NA,35522.48
136,1752,NA,7,NA,17898.42,NA,17699.7,NA,35598.12
137,1752,NA,8,NA,17906.47,NA,17968.93,NA,35875.4
138,1752,NA,9,NA,18223.23,NA,18461.67,NA,36684.9
139,1752,10,NA,18715.67,NA,19029.43,NA,37745.1,NA
140,1752,11,NA,18196.57,NA,18208.13,NA,36404.7,NA
141,1752,12,NA,17608.56,NA,17449.81,NA,35058.37,NA
142,1752,13,NA,16932.05,NA,16688.77,NA,33620.82,NA
143,1752,14,NA,16343.65,NA,16099.85,NA,32443.5,NA
144,1752,15,NA,15837.99,NA,15608.18,NA,31446.17,NA
145,1752,16,NA,16473.25,NA,15775.18,NA,32248.43,NA
146,1752,17,NA,16916.26,NA,15949.06,NA,32865.32,NA
147,1752,18,NA,17024.35,NA,15763.74,NA,32788.09,NA
148,1752,19,NA,17186.15,NA,15185.84,NA,32371.99,NA
149,1752,20,NA,17329.89,NA,14641.16,NA,31971.05,NA
150,1752,21,NA,16796.83,NA,14203.69,NA,31000.52,NA
151,1752,22,NA,16350.5,NA,13787.61,NA,30138.11,NA
152,1752,23,NA,15975.04,NA,13636.25,NA,29611.29,NA
153,1752,24,NA,15705.23,NA,13804.29,NA,29509.52,NA
154,1752,25,NA,15250.17,NA,13714.14,NA,28964.31,NA
155,1752,26,NA,15267.56,NA,13818.35,NA,29085.91,NA
156,1752,27,NA,15322.48,NA,13825.83,NA,29148.31,NA
157,1752,28,NA,15334.27,NA,13668.85,NA,29003.12,NA
158,1752,29,NA,15306.52,NA,13585.83,NA,28892.35,NA
159,1752,30,NA,15136.83,NA,13464.13,NA,28600.96,NA
160,1752,31,NA,14156.51,NA,12645.69,NA,26802.2,NA
161,1752,32,NA,13191.46,NA,11794.35,NA,24985.81,NA
162,1752,33,NA,12191.79,NA,11000.89,NA,23192.68,NA
163,1752,34,NA,11284.91,NA,10337.94,NA,21622.85,NA
164,1752,35,NA,10486.8,NA,NA,9745.74,NA,20232.54
165,1752,36,NA,10680.93,NA,NA,9888.83,NA,20569.76
166,1752,37,NA,11041.06,NA,10128.22,NA,21169.28,NA
167,1752,38,NA,11414.88,NA,10333.69,NA,21748.57,NA
168,1752,39,NA,11860.84,NA,10490.52,NA,22351.36,NA
169,1752,40,NA,12127.61,NA,10482.79,NA,22610.4,NA
170,1752,41,NA,11085.8,NA,NA,9545.44,NA,20631.24
171,1752,42,NA,10169.43,NA,NA,8787.04,NA,18956.47
172,1752,43,NA,NA,9321.34,NA,NA,NA,NA
173,1752,44,NA,NA,8481.82,NA,NA,NA,NA
174,1752,45,NA,NA,7661.69,NA,NA,NA,NA
175,1752,46,NA,NA,7998.96,NA,NA,NA,NA
176,1752,47,NA,NA,8543.35,NA,NA,NA,NA
177,1752,48,NA,NA,9198.12,NA,NA,NA,NA
178,1752,49,NA,10031.88,NA,NA,8338.69,NA,18370.57
179,1752,50,NA,10820.91,NA,NA,8700.29,NA,19521.2
180,1752,51,NA,NA,9763.46,NA,NA,NA,NA
181,1752,52,NA,NA,8704.02,NA,NA,NA,NA
182,1752,53,NA,NA,7701.44,NA,NA,NA,NA
183,1752,54,NA,NA,6809.67,NA,NA,NA,NA
184,1752,55,NA,NA,5971.51,NA,NA,NA,NA
185,1752,56,NA,NA,6195.73,NA,NA,NA,NA
186,1752,57,NA,NA,6520.92,NA,NA,NA,NA
187,1752,58,NA,NA,6984.31,NA,NA,NA,NA
188,1752,59,NA,NA,7692.04,NA,NA,NA,NA
